Season,Round,Date,GrandPrix,Circuit,OfficialName,Type,Laps,Distance,CircuitLength
1976,11,1976-08-15,Austria,Spielberg,Grosser Preis von Osterreich 1976,Race,54,319.194,5.911
1976,12,1976-08-29,Netherlands,Zandvoort,Grote Prijs van Nederland 1976,Race,75,316.95,4.226
1976,13,1976-09-12,Italy,Monza,Gran Premio d'Italia 1976,Race,52,301.6,5.8
1976,14,1976-10-03,Canada,Mosport,Labatt's Canadian Grand Prix 1976,Race,80,316.56,3.957
1976,15,1976-10-10,United States,Watkins Glen,1976 United States Grand Prix,Race,59,320.665,5.435
1976,16,1976-10-24,Japan,Fuji,1976 Japanese Grand Prix,Race,73,318.207,4.359
1977,1,1977-01-09,Argentina,Buenos Aires,Gran Premio de Argentina 1977,Race,53,316.304,5.968
1977,2,1977-01-23,Brazil,Interlagos,Grande Premio do Brasil 1977,Race,40,318.4,7.96
1977,3,1977-03-05,South Africa,Kyalami,The Citizen Grand Prix of South Africa 1977,Race,78,320.112,4.104
1977,4,1977-04-03,United States West,Long Beach,1977 Long Beach Grand Prix,Street,80,260.08,3.251
1977,5,1977-05-08,Spain,Jarama,Gran Premio de Espana 1977,Race,75,255.3,3.404
1977,6,1977-05-22,Monaco,Monaco,Grand Prix de Monaco 1977,Street,76,251.712,3.312
1977,7,1977-06-05,Belgium,Zolder,1977 Belgian Grand Prix,Race,70,298.34,4.262
1977,8,1977-06-19,Sweden,Anderstorp,Gislaved Sveriges Grand Prix 1977,Race,72,289.296,4.018
1977,9,1977-07-03,France,Dijon,Grand Prix de France 1977,Race,80,304.08,3.801
1977,10,1977-07-16,Great Britain,Silverstone,1977 John Player British Grand Prix,Race,68,320.892,4.719
1977,11,1977-07-31,Germany,Hockenheimring,Grosser Preis von Deutschland 1977,Race,47,319.083,6.789
1977,12,1977-08-14,Austria,Spielberg,Grosser Preis von Osterreich 1977,Race,54,320.868,5.942
1977,13,1977-08-28,Netherlands,Zandvoort,Grote Prijs van Nederland 1977,Race,75,316.95,4.226
1977,14,1977-09-11,Italy,Monza,Gran Premio d'Italia 1977,Race,52,301.6,5.8
1977,15,1977-10-02,United States,Watkins Glen,1977 Toyota United States Grand Prix,Race,59,320.665,5.435
1977,16,1977-10-09,Canada,Mosport,Labatt's Canadian Grand Prix 1977,Race,80,316.56,3.957
1977,17,1977-10-23,Japan,Fuji,1977 Japanese Grand Prix,Race,73,318.207,4.359
1978,1,1978-01-15,Argentina,Buenos Aires,Gran Premio de Argentina 1978,Race,52,310.336,5.968
1978,2,1978-01-29,Brazil,Jacarepagua,Grande Premio do Brasil 1978,Race,63,316.953,5.031
1978,3,1978-03-04,South Africa,Kyalami,The Citizen and Asseng Grand Prix of South Africa 1978,Race,78,320.112,4.104
1978,4,1978-04-02,United States West,Long Beach,1978 Long Beach Grand Prix,Street,80,260.08,3.251
1978,5,1978-05-07,Monaco,Monaco,Grand Prix de Monaco 1978,Street,75,248.4,3.312
1978,6,1978-05-21,Belgium,Zolder,1978 Belgian Grand Prix,Race,70,298.34,4.262
1978,7,1978-06-04,Spain,Jarama,Gran Premio de Espana 1978,Race,75,255.3,3.404
1978,8,1978-06-17,Sweden,Anderstorp,Sveriges Grand Prix 1978,Race,70,282.17,4.031
1978,9,1978-07-02,France,Paul Ricard,Grand Prix de France 1978,Race,54,313.686,5.809
1978,10,1978-07-16,Great Britain,Brands Hatch,1978 John Player British Grand Prix,Race,76,319.732,4.207
1978,11,1978-07-30,Germany,Hockenheimring,Grosser Preis von Deutschland 1978,Race,45,305.505,6.789
1978,12,1978-08-13,Austria,Spielberg,Grosser Preis von Osterreich 1978,Race,54,320.868,5.942
1978,13,1978-08-27,Netherlands,Zandvoort,Grote Prijs van Nederland 1978,Race,75,316.95,4.226
1978,14,1978-09-10,Italy,Monza,Gran Premio d'Italia 1978,Race,40,232.0,5.8
1978,15,1978-10-01,United States,Watkins Glen,1978 Toyota United States Grand Prix,Race,59,320.665,5.435
1978,16,1978-10-08,Canada,Montreal,Grand Prix du Canada 1978,Street,70,315.0,4.5
1979,1,1979-01-21,Argentina,Buenos Aires,Gran Premio de Argentina 1979,Race,53,316.304,5.968
1979,2,1979-02-04,Brazil,Interlagos,Grande Premio do Brasil 1979,Race,40,314.96,7.874
1979,3,1979-03-03,South Africa,Kyalami,Simba Grand Prix of South Africa 1979,Race,78,320.112,4.104
1979,4,1979-04-08,United States West,Long Beach,1979 Lubri Lon Long Beach Grand Prix,Street,80,260.08,3.251
1979,5,1979-04-29,Spain,Jarama,Gran Premio de Espana 1979,Race,75,255.3,3.404
1979,6,1979-05-13,Belgium,Zolder,1979 Belgian Grand Prix,Race,70,298.34,4.262
1979,7,1979-05-27,Monaco,Monaco,Grand Prix de Monaco 1979,Street,76,251.712,3.312
1979,8,1979-07-01,France,Dijon,Grand Prix de France 1979,Race,80,304.08,3.801
1979,9,1979-07-14,Great Britain,Silverstone,1979 Marlboro British Grand Prix,Race,68,320.892,4.719
1979,10,1979-07-29,Germany,Hockenheimring,Grosser Preis von Deutschland 1979,Race,45,305.505,6.789
1979,11,1979-08-12,Austria,Spielberg,Grosser Preis von Osterreich 1979,Race,54,320.868,5.942
1979,12,1979-08-26,Netherlands,Zandvoort,Grote Prijs van Nederland 1979,Race,75,316.95,4.226
1979,13,1979-09-09,Italy,Monza,Gran Premio d'Italia 1979,Race,50,290.0,5.8
1979,14,1979-09-30,Canada,Montreal,Grand Prix du Canada 1979,Street,72,324.0,4.5
1979,15,1979-10-07,United States,Watkins Glen,1979 Toyota United States Grand Prix,Race,59,320.665,5.435
1980,1,1980-01-13,Argentina,Buenos Aires,Gran Premio de Argentina 1980,Race,53,316.304,5.968
1980,2,1980-01-27,Brazil,Interlagos,Grande Premio do Brasil 1980,Race,40,314.96,7.874
1980,3,1980-03-01,South Africa,Kyalami,South African Grand Prix 1980,Race,78,320.112,4.104
1980,4,1980-03-30,United States West,Long Beach,1980 Toyota Grand Prix of Long Beach,Street,80,260.08,3.251
1980,5,1980-05-04,Belgium,Zolder,1980 Belgian Grand Prix,Race,72,306.864,4.262
1980,6,1980-05-18,Monaco,Monaco,Grand Prix de Monaco 1980,Street,76,251.712,3.312
1980,7,1980-06-29,France,Paul Ricard,Grand Prix de France 1980,Race,54,313.686,5.809
1980,8,1980-07-13,Great Britain,Brands Hatch,1980 Marlboro British Grand Prix,Race,76,319.732,4.207
1980,9,1980-08-10,Germany,Hockenheimring,Grosser Preis von Deutschland 1980,Race,45,305.505,6.789
1980,10,1980-08-17,Austria,Spielberg,Grosser Preis von Osterreich 1980,Race,54,320.868,5.942
1980,11,1980-08-31,Netherlands,Zandvoort,Grote Prijs van Nederland 1980,Race,72,306.144,4.252
1980,12,1980-09-14,Italy,Imola,Gran Premio d'Italia 1980,Race,60,300.0,5.0
1980,13,1980-09-28,Canada,Montreal,Grand Prix Labatt du Canada 1980,Street,70,308.7,4.41
1980,14,1980-10-05,United States,Watkins Glen,1980 Toyota United States Grand Prix,Race,59,320.665,5.435
1981,1,1981-03-15,United States West,Long Beach,1981 Toyota Grand Prix of Long Beach,Street,80,260.08,3.251
1981,2,1981-03-29,Brazil,Jacarepagua,Grande Premio do Brasil 1981,Race,62,311.922,5.031
1981,3,1981-04-12,Argentina,Buenos Aires,Gran Premio de Argentina 1981,Race,53,316.304,5.968
1981,4,1981-05-03,San Marino,Imola,Gran Premio di San Marino 1981,Race,60,302.4,5.04
1981,5,1981-05-17,Belgium,Zolder,1981 Belgian Grand Prix,Race,54,230.148,4.262
1981,6,1981-05-31,Monaco,Monaco,Grand Prix de Monaco 1981,Street,76,251.712,3.312
1981,7,1981-06-21,Spain,Jarama,Gran Premio de Espana 1981,Race,80,264.96,3.312
1981,8,1981-07-05,France,Dijon,Grand Prix de France 1981,Race,80,304.08,3.801
1981,9,1981-07-18,Great Britain,Silverstone,1981 Marlboro British Grand Prix,Race,68,320.892,4.719
1981,10,1981-08-02,Germany,Hockenheimring,Grosser Preis von Deutschland 1981,Race,45,305.505,6.789
1981,11,1981-08-16,Austria,Spielberg,Grosser Preis von Osterreich 1981,Race,53,314.926,5.942
1981,12,1981-08-30,Netherlands,Zandvoort,Grote Prijs van Nederland 1981,Race,72,306.144,4.252
1981,13,1981-09-13,Italy,Monza,Gran Premio d'Italia 1981,Race,52,301.6,5.8
1981,14,1981-09-27,Canada,Montreal,Grand Prix Labatt du Canada 1981,Street,63,277.83,4.41
1981,15,1981-10-17,Caesar's Palace,Caesars Palace,1981 Caesars Palace Grand Prix,Street,75,273.75,3.65
1982,1,1982-01-23,South Africa,Kyalami,South African Grand Prix 1982,Race,77,316.008,4.104
1982,2,1982-03-21,Brazil,Jacarepagua,Grande Premio do Brasil 1982,Race,63,316.953,5.031
1982,3,1982-04-04,United States West,Long Beach,1982 Toyota Grand Prix of Long Beach,Street,75,257.1,3.428
1982,4,1982-04-25,San Marino,Imola,Gran Premio di San Marino 1982,Race,60,302.4,5.04
1982,5,1982-05-09,Belgium,Zolder,1982 Belgian Grand Prix,Race,70,298.34,4.262
1982,6,1982-05-23,Monaco,Monaco,Grand Prix de Monaco 1982,Street,76,251.712,3.312
1982,7,1982-06-06,Detroit,Detroit,1982 Detroit Grand Prix,Street,62,258.416,4.168
1982,8,1982-06-13,Canada,Montreal,Grand Prix Labatt du Canada 1982,Street,70,308.7,4.41
1982,9,1982-07-03,Netherlands,Zandvoort,Grote Prijs van Nederland 1982,Race,72,306.144,4.252
1982,10,1982-07-18,Great Britain,Brands Hatch,1982 Marlboro British Grand Prix,Race,76,319.732,4.207
1982,11,1982-07-25,France,Paul Ricard,Grand Prix de France 1982,Race,54,313.686,5.809
1982,12,1982-08-08,Germany,Hockenheimring,Grosser Preis von Deutschland 1982,Race,45,305.865,6.797
1982,13,1982-08-15,Austria,Spielberg,Grosser Preis von Osterreich 1982,Race,53,314.926,5.942
1982,14,1982-08-29,Switzerland,Dijon,Grosser Preis der Schweiz 1982,Race,80,304.08,3.801
1982,15,1982-09-12,Italy,Monza,Gran Premio d'Italia 1982,Race,52,301.6,5.8
1982,16,1982-09-25,Caesar's Palace,Caesars Palace,1982 Caesars Palace Grand Prix,Street,75,273.75,3.65
1983,1,1983-03-13,Brazil,Jacarepagua,Grande Premio do Brasil 1983,Race,63,316.953,5.031
1983,2,1983-03-27,United States West,Long Beach,1983 Toyota Grand Prix of Long Beach,Street,75,245.625,3.275
1983,3,1983-04-17,France,Paul Ricard,Grand Prix de France 1983,Race,54,313.686,5.809
1983,4,1983-05-01,San Marino,Imola,Gran Premio di San Marino 1983,Race,60,302.4,5.04
1983,5,1983-05-15,Monaco,Monaco,Grand Prix de Monaco 1983,Street,76,251.712,3.312
1983,6,1983-05-22,Belgium,Spa-Francorchamps,1983 Belgian Grand Prix,Race,40,277.96,6.949
1983,7,1983-06-05,Detroit,Detroit,1983 Detroit Grand Prix,Street,60,241.38,4.023
1983,8,1983-06-12,Canada,Montreal,Grand Prix Labatt du Canada 1983,Street,70,308.7,4.41
1983,9,1983-07-16,Great Britain,Silverstone,1983 Marlboro British Grand Prix,Race,67,316.173,4.719
1983,10,1983-08-07,Germany,Hockenheimring,Grosser Preis von Deutschland 1983,Race,45,305.865,6.797
1983,11,1983-08-14,Austria,Spielberg,Grosser Preis von Osterreich 1983,Race,53,314.926,5.942
1983,12,1983-08-28,Netherlands,Zandvoort,Grote Prijs van Nederland 1983,Race,72,306.144,4.252
1983,13,1983-09-11,Italy,Monza,Gran Premio d'Italia 1983,Race,52,301.6,5.8
1983,14,1983-09-25,Europe,Brands Hatch,1983 John Player Grand Prix of Europe,Race,76,319.732,4.207
1983,15,1983-10-15,South Africa,Kyalami,Southern Sun Hotels South African Grand Prix 1983,Race,77,316.008,4.104
1984,1,1984-03-25,Brazil,Jacarepagua,Grande Premio do Brasil 1984,Race,61,306.891,5.031
1984,2,1984-04-07,South Africa,Kyalami,National Panasonic South African Grand Prix 1984,Race,75,307.8,4.104
1984,3,1984-04-29,Belgium,Zolder,1984 Belgian Grand Prix,Race,70,298.34,4.262
1984,4,1984-05-06,San Marino,Imola,Gran Premio di San Marino 1984,Race,60,302.4,5.04
1984,5,1984-05-20,France,Dijon,Grand Prix de France 1984,Race,79,300.279,3.801
1984,6,1984-06-03,Monaco,Monaco,Grand Prix de Monaco 1984,Street,31,102.672,3.312
1984,7,1984-06-17,Canada,Montreal,Grand Prix Labatt du Canada 1984,Street,70,308.7,4.41
1984,8,1984-06-24,Detroit,Detroit,1984 Detroit Grand Prix,Street,63,253.449,4.023
1984,9,1984-07-08,Dallas,Dallas,1984 Dallas Grand Prix,Street,67,261.367,3.901
1984,10,1984-07-22,Great Britain,Brands Hatch,1984 John Player British Grand Prix,Race,71,298.697,4.207
1984,11,1984-08-05,Germany,Hockenheimring,Grosser Preis von Deutschland 1984,Race,44,299.068,6.797
1984,12,1984-08-19,Austria,Spielberg,Grosser Preis von Osterreich 1984,Race,51,303.042,5.942
1984,13,1984-08-26,Netherlands,Zandvoort,Grote Prijs van Nederland 1984,Race,71,301.892,4.252
1984,14,1984-09-09,Italy,Monza,Gran Premio d'Italia 1984,Race,51,295.8,5.8
1984,15,1984-10-07,Europe,Nurburgring,Grosser Preis von Europa 1984,Race,67,304.314,4.542
1984,16,1984-10-21,Portugal,Estoril,Grande Premio de Portugal 1984,Race,70,304.43,4.349
1985,1,1985-04-07,Brazil,Jacarepagua,Grande Premio do Brasil 1985,Race,61,306.891,5.031
1985,2,1985-04-21,Portugal,Estoril,Grande Premio de Portugal 1985,Race,67,304.43,4.349
1985,3,1985-05-05,San Marino,Imola,Gran Premio di San Marino 1985,Race,60,302.4,5.04
1985,4,1985-05-19,Monaco,Monaco,Grand Prix de Monaco 1985,Street,78,258.336,3.312
1985,5,1985-06-16,Canada,Montreal,Grand Prix Labatt du Canada 1985,Street,70,308.7,4.41
1985,6,1985-06-23,Detroit,Detroit,1985 Detroit Grand Prix,Street,63,253.449,4.023
1985,7,1985-07-07,France,Paul Ricard,Grand Prix de France 1985,Race,53,307.877,5.809
1985,8,1985-07-21,Great Britain,Silverstone,1985 Marlboro British Grand Prix,Race,65,306.735,4.719
1985,9,1985-08-04,Germany,Nurburgring,Grosser Preis von Deutschland 1985,Race,67,304.314,4.542
1985,10,1985-08-18,Austria,Spielberg,Grosser Preis von Osterreich 1985,Race,52,308.984,5.942
1985,11,1985-08-25,Netherlands,Zandvoort,Grote Prijs van Nederland 1985,Race,70,297.64,4.252
1985,12,1985-09-08,Italy,Monza,Gran Premio d'Italia 1985,Race,51,295.8,5.8
1985,13,1985-09-15,Belgium,Spa-Francorchamps,1985 Belgian Grand Prix,Race,43,298.42,6.94
1985,14,1985-10-06,Europe,Brands Hatch,1985 Shell Oils Grand Prix of Europe,Race,75,315.525,4.207
1985,15,1985-10-19,South Africa,Kyalami,Southern Sun Hotels South African Grand Prix 1985,Race,75,307.8,4.104
1985,16,1985-11-03,Australia,Adelaide,1985 Mitsubishi Australian Grand Prix,Street,82,309.96,3.78
1986,1,1986-03-23,Brazil,Jacarepagua,Grande Premio do Brasil 1986,Race,61,306.891,5.031
1986,2,1986-04-13,Spain,Jerez,Gran Premio Tio Pepe de Espana 1986,Race,72,303.696,4.218
1986,3,1986-04-27,San Marino,Imola,Gran Premio di San Marino 1986,Race,60,302.4,5.04
1986,4,1986-05-11,Monaco,Monaco,Grand Prix de Monaco 1986,Street,78,259.584,3.328
1986,5,1986-05-25,Belgium,Spa-Francorchamps,1986 Belgian Grand Prix,Race,43,298.42,6.94
1986,6,1986-06-15,Canada,Montreal,Grand Prix Labatt du Canada 1986,Street,69,304.29,4.41
1986,7,1986-06-22,Detroit,Detroit,1986 Detroit Grand Prix,Street,63,253.449,4.023
1986,8,1986-07-06,France,Paul Ricard,Grand Prix de France 1986,Race,80,305.04,3.813
1986,9,1986-07-13,Great Britain,Brands Hatch,1986 Shell Oils British Grand Prix,Race,75,315.525,4.207
1986,10,1986-07-27,Germany,Hockenheimring,Grosser Preis von Deutschland 1986,Race,44,299.068,6.797
1986,11,1986-08-10,Hungary,Hungaroring,Magyar Nagydij 1986,Race,76,305.064,4.014
1986,12,1986-08-17,Austria,Spielberg,Grosser Preis von Osterreich 1986,Race,52,308.984,5.942
1986,13,1986-09-07,Italy,Monza,Gran Premio d'Italia 1986,Race,51,295.8,5.8
1986,14,1986-09-21,Portugal,Estoril,Grande Premio de Portugal 1986,Race,70,304.43,4.349
1986,15,1986-10-12,Mexico,Mexico City,Gran Premio de Mexico 1986,Race,68,300.628,4.421
1986,16,1986-10-26,Australia,Adelaide,1986 Foster's Australian Grand Prix,Street,82,309.96,3.78
1987,1,1987-04-12,Brazil,Jacarepagua,Grande Premio do Brasil 1987,Race,61,306.891,5.031
1987,2,1987-05-03,San Marino,Imola,Gran Premio di San Marino 1987,Race,59,297.36,5.04
1987,3,1987-05-17,Belgium,Spa-Francorchamps,1987 Belgian Grand Prix,Race,43,298.42,6.94
1987,4,1987-05-31,Monaco,Monaco,Grand Prix de Monaco 1987,Street,78,259.584,3.328
1987,5,1987-06-21,Detroit,Detroit,1987 Detroit Grand Prix,Street,63,253.449,4.023
1987,6,1987-07-05,France,Paul Ricard,Grand Prix de France 1987,Race,80,305.04,3.813
